Comment,Label,cluster
Masya alloh sungguh maha karya yg luar biasa.,,1
Terima kasih kado ulang tahun RI yg sungguh sebuah karya yg luar biasa  !,,1
"Karya yang luar biasa hebat.. Bangga dan terharu, terimakasih Alffy ❤",,1
"Terimakasih karya yang selalu luar biasa menurut saya,,
Tetap semangat dan terus berkarya 🙏💪😎",,1
"Trimakasih atas karyanya yg sangat luar biasa...
Akan selalu kami tunggu karya selanjutnya...",,1
Terima kasih sudah membuat karya yg luar biasa canggih dan indah ini untuk Indonesia..🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩🙏🙏🇮🇩🇮🇩🇮🇩🇮🇩,,1
"Beberapa kali putar lagu ""Guardian of Nusantara"" ini bikin hati bergetar dan airmata terus mengalir. Sungguh karya yg luar biasa, sangat membanggakan Indonesia!
Alffy Rev, Terima kasih atas karyamu ini untuk kami Bangsa Garuda, Bangsa Nusantara, Bangsa Indonesia 🇮🇩🇮🇩🇮🇩",,1
"Terima kasih atas dedikasi dan karya nya yang begitu luar biasa,, sehat"" selalu semoga kisah nusantara masih bisa berlanjut",,1
"Terimakasih banyak telah menumpahkan karya yang sangat indah ini. Semua yang terlibat, kalian sangat luar biasa👏",,1
Makasih abang selalu menghidupkan suasana kemerdekaan dengan karya yang sangat luar biasa ini❤ di tunggu untuk karya selanjutnya 😊,,1
"Bg mungkin permintaan gw egois, tapi please jangan berhenti buat berkarya, jangan berhenti buat kami kagum, kalian yang berkerja dalam project ini adalah aset yang luar biasa yang Indonesia punya. 
Saya hancurkan apresiasi setinggi-tingginya buat tim DEWATLANTIS dan semuanya, kalian luar biasa, karya yang sungguh epic, penuturan kisah yang sungguh menyentuh, alur yang keren dari sebuah lagu yang dipersembahkan sepenuh hati sehingga jadilah MAHAKARYA yang luar biasa. 
Buat lu bg Alfy, karya lu ang gak pernah bikin kecewa, ramuan musik yang lu sajikan selalu bikin kagum penikmatnya. 

Please jangan berhenti, jangan usai, jangan hilang, bila perlu nantinya harus ada Alfy rev lainnya atau bahkan keturunan lu sendiri harus lanjutkan ini, 

Sekali lagi thanks buat persembahan musiknya yang luar biasa.",,1
"Luar biasa selalu keren dan bikin merinding terharu & terbangkitkan rasa bangga terhadap bumi Nusantara 

Senin,19 Agustus 2024
Selamat datang di Tanah tercinta 
Langit memanggilnya , Tanah Nusantara 

Terimakasih Alfif ,anda pemuda yang luar biasa",,1
Terimakasih telah mempersembahkan karya yg luar biasa ❤,,1
Bangga Indonesia.. selamat kak alffy . selalu memberikan karya luar biasa atas nama bangsa ..,,1
Luar biasa👍,,1
Karya yang luar biasa menyala Indonesiaku 👍❤️‍🔥❤️‍🔥❤️‍🔥,,1
Luar biasa terimakasih telah membuat karya ini,,1
"Mantap dan sangat buat haru akan cinta Indonesia berharap semua suku di tampilkan agar dunia tau Indonesia ini beragam tapi tetap satu
BHINNEKA TUNGGAL IKA 
DIRGAHAYU REPUBLIK INDONESIA KE 79",,1
Kalian semua yang terlibat dalam Projects Luar biasa ini. KEREEEEEENNN,,1
"Terimakasih SDH menciptakan hsl karya yg sgt spectacular, dirgahayu RI - 79 , merdeka !!!!",,1
Istimewa & Luar biasa 🥇🏆,,1
Terimakasih kak dan team..sangat luar biasa dan saya pribadi sangat bangga👍,,1
Karya yg luar biasa dan membanggakan kan 👍👍,,1
Karya luar biasa dari alffy rev🔥🔥,,1
karya yang sangat luar biasa.. aku bangga menjadi anak tanah air tercinta INDONESIA dan semnagat garuda selalu kutanamkan di dadaku. MERDEKA💪💪💪,,1
" @alffy_rev  terima kasih mas Alffy,   karya yg sangat luar biasa, sukses selalu ya aamiin",,1
luar biasa...karya indah dari anak bangsa.... outstanding,,1
You're great... thanks untuk karya yang luar biasa ini...❤,,1
Terimakasih kak🙏🏻karya mu sungguh luar biasa❤.,,1
"Karya luar biasa, persembahan terbaik anak bangsa. trimakasih banyak kak Alvy Reff dan tim, menyuguhkan karya yang patut diapresiasi",,1
"ASLI KEREN... TERIMA KASIH ATAS KARYANYA . AKU TERHARU MENONTONNYA. DIRGAHAYU RI KE 79. NUSANTARA BARU, INDONESIA MAJU. MERDEKA!!!",,1
Karya Luar Biasa ❤,,1
Karya yang sangat luar biasa🔥,,1
Luar biasa kado nya....🙏🙏🙏,,1
"Kado ulang tahun R I yang sangat luar biasa,  kau orang hebat mas Alfi",,1
"Karya yg luar biasa, 🎊🎉🎇",,1
"Dasyaaat......, Matur nuwun atas karya Yg luar biasa",,1
"Terima kasih atas karya luar biasa ini, setiap sya menonton vidionya sya selalu menangis terharu dgn bangsa Nusa Antara Republik Indonesia",,1
"merinding, terharu, terpana. Luar biasa karyamu Mas Alffy.",,1
Sungguh karya yg luar biasa untuk NUSANTARA,,1
"luar biasa  bang keren
nya keep the good work!!!",,1
Luar biasa 👏🏻,,1
 @alffy_rev  Karya yg luar biasa 👏🏻,,1
"Selamat dan sukses utk seluruh tim , kalian luar biasa dan hebat membuat karya ini sebagai pemantik cinta tanah air kita Indonesia ❤🇮🇩👍👍",,1
"Sehat sehat Alffy dan team, Terima kasih atas segala karya yg sangat luar biasa bagus, saya bangga Indonesia mempunyai Alffy dan team, lanjutkan 💪💪💪💪 saya tunggu karya selanjutnya",,1
Terima kasih untuk karya yang luar biasaa 🙏🏻🙏🏻,,1
karya yg luar biasa.....😘,,1
