Comment,Label,cluster
"—— Karya ini telah terlahir seutuhnya, sebuah tugas besar yang sangat menguras jiwa raga ini telah usai. Kini, yang akan menghidupkan karya ini kedepannya adalah untaian “Apresiasi” dari kalian semua. 

Semoga kawan-kawan selalu berkenan membantu kami menyebarluaskan karya ini, agar kami pun dapat terus tumbuh melanjutkan perjalanan panjang menghidupkan berbagai warisan leluhur Nusantara.

Sampai jumpa di perjalanan selanjutnya🪴

#TheGuardianofNusantara",,0
N_tnfzgzgsrzvrzeziztG,,0
Keren bgt woooyyy🎉🎉🎉,,0
Ngelantur harus lihat ini🤩,,0
Gilaaa keren bgt🔥🔥,,0
Sebenernya indonesia bisa bikin film yg bagus tapi kenapa gk mencoba bikin gitu dari vidio ini aja udah kayak nonton film,,0
Sumpah merinding. Lihatnya bangga dan terharu sampai keluar air mata❤❤❤,,0
Merindinnggggggg,,0
Keren banget s bangga liat nya,,0
Masya alloh sungguh maha karya yg luar biasa.,,1
Surya Nusantara,,0
Keren👍,,0
MENGERIKANNNNNNNN😬😬,,0
Respect Indonesia kerana punya karyawan yg masih memperjuangkan sejarah negara kalian walaupun hanya kepada seni muzikal mengenai identiti Negara serta mengenalkan identiti sebenar Nusantara kalian kepada dunia 🫡👍,,0
kok aku gak sadar air mata ini menetes .....,,0
RCTI,,0
"Sebagus ini peminatnya dikit bgt, padahal ini udh next level banget secara karya Bang Alffy",,0
"Karya penuh makna dan arti kehidupan negeri ini. Para pendahulu berjuang mati matian untuk menjaga negeri ini agar dinikmati anak cucunya dan sangat disegani lawan lawanya seakan negeri ini punya taring yg g akan mampu digeser,namun apa daya sekarang negeri ini digerogoti virus dr dalam seakan t mampu dibendung dan taringpun seakan lepas. Apakah negeri ini bakal mampu bangkit seperti dulu para pejuang pejuang NUSANTARA. wahai ibu pertiwi bangkitkan bangsa ini dan para para anak anak negeri ini untuk bisa membangung negeri ini dng penuh jiwa semangat bhineka tunggal ika.",,0
Bukan kah ini sebagai ucapan terima kasih kita buat timnas diaspora kita yg pulang ke Nusantara sebagai pahlawan kebangkitan sepak bola Indonesia?,,0
"Semoga negara ini jangan mudah terpecah , apalagi gara"" sara 

Indonesia maju
Tanah air kita",,0
Terima kasih kado ulang tahun RI yg sungguh sebuah karya yg luar biasa  !,,1
Gg,,0
Dengan sepenuh hati Alffy 🫰,,0
Terimakasih atas karya hebat ini. Selamat beristirahat. Semoga dapat menghasilkan karya hebat lainnya. 🙏🏻🎉,,0
"https://youtu.be/SijAph0RA8E?si=nqEoUpO4McQygyqp

ini reaction dari fans kalian yg berasal dari negara asal muasalnya ajaran Trimurti, terdapat diskusi menarik soal preposisi Garuda dalam ajaran mereka...

Mungkin kita bisa belajar menambah wawasan bagi kita",,0
Menyala 🔥🔥,,0
Wow… superrr 🔥🔥🔥,,0
"Kami juga akan selalu berada di belakang mu, berpegang erat pada ""bahumu"" Kepada perjalanan mendukung mu dengan untuk mewujudkan nilai"" Budaya pada mata dunia dengan hati tulus dan iklass 🇮🇩🤲🔥 #theguardianofnusantara 🦅MERDEKAAA!!!!!",,0
"Pemantik semangat dan rasa nasionalisme, keren karyanya mas. Kado HUT kemerdekaan kesikian kalinya yang tetap membanggakan 🇮🇩🇮🇩🇮🇩",,0
Ini baru keren,,0
"Karya yang luar biasa hebat.. Bangga dan terharu, terimakasih Alffy ❤",,1
Visual effect nya keren bangets,,0
"Alffy Rev beserta tim dan juga Dewatlantis Studio, terima kasih atas mahakarya terbarunya. Jangan lelah dan bosan untuk melahirkan mahakarya-mahakarya lainnya di masa depan untuk Indonesia kita... 🦅🇮🇩",,0
Terima kasih sudah menyajikan karya yang sangat luar biasa.... terus berkarya......untuk negeri dengan cara masing-masing,,0
"WOW,, Karya Yg selalu Terbaik. Nasionalisme,, Semangattt GARUDA",,0
"No worries, Alffy. We will help you to spread your wings so you can fly higher, eagle. We are here to catch you when you're exhausted from your long journey. DONT STOP FLYING, EAGLES. FLY HIGHERRRR.",,0
lebih baik buat film aja... bagus bgt,,0
Menyala Abang alfy dan team 🥇🔥,,0
"Gak cukup sekali dua kali menonton karyamu, terima kasih, semiga terwujud kembali Nusantara dengan jati diri yang utuh.",,0
MENYALAAAAA INDONESIA MERDEKA 🔥🔥🔥🔥🔥🔥,,0
"Terimakasih karya yang selalu luar biasa menurut saya,,
Tetap semangat dan terus berkarya 🙏💪😎",,1
ud trending 3 we,,0
MasyaAllah... Beneran terharu ☺ Terima kasih 🙏🙏🙏,,0
Keren 🔥🔥🔥,,0
❤❤,,0
Pastiii... Apresiasi yg sebesar besarnya utk kalian smua,,0
SELALU KEREN!!,,0
Terimakasih kak sudah menjadi sosok yg selalu saya tubggu karya2nya di setiap tahunnya. Smoga kedepannya di setiap hut RI slalu ada karya2 hebat lainnya. Sehat selalu kak.,,0
"Berharap kepada pak dewan terpilih Once Mekel. Karna di era Prabowo kita wajib Maju. Sudahi perbedaan politik. Modernitas dan sinergi kebudayaan, pasti akan keren bgt. Semoga pak dewan support talenta briliant bangsa Alfy Rev, dkk. Bukan hanya program setahun sekali, tapi bisa rill bersama mengingatkan kita semua untuk selalu maju bukan malas malasan dan pesimis.",,0
"Bang, harusnya anda dan tim bukan youtuber lagi. Kelasnya sudah Film layar lebar ini mah

Bangga dengan Dewatlantis dan Alvy Rev
Terimakasih",,0
Salam hormat kak alffy❤,,0
Keren sih ini,,0
KAK MAKASIH sebesar besarnyaa sudah mau buat project sebaguss dan sekeren inii!! hebatt bangett😭😭 aku cumaa bisa bantuu rewatch video ini biar bisa trending dan bantu share ke teman teman untuk mengapresiasi karyaa kak alffy beserta team. thank you so much,,0
"Terimakasih atas apa yg telah bang alfiy rev  hadiahkan dlm rangka HUT RI yg ke79 semoga apa yg dilakukan ini akan dikenang oleh rakyat Indonesia khususnya .
Selamat bang maha karya yg tak ternilai harganya semoga sukses selalu dgn seiring berjalanya waktu 🎉🎉🎉🎉🎉🎉🎉🎉🎉
Thanks to all .❤❤❤❤❤❤❤",,0
🎉,,0
Totalitas tanpa batas. Kreativitas tanpa akhir,,0
"Trimakasih atas karyanya yg sangat luar biasa...
Akan selalu kami tunggu karya selanjutnya...",,1
WOW ada senjata patakan majapahit Naga Kembar Penjaga Tirta Amertha (Sang Dwija Naga Nareswara)🔥,,0
Terima kasih sudah membuat karya yg luar biasa canggih dan indah ini untuk Indonesia..🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩🙏🙏🇮🇩🇮🇩🇮🇩🇮🇩,,1
Ini kereeeennnn,,0
Ka Alffy and team terima kasih sudah melahirkan karya sekeren ini 🥺❤,,0
HIDUPKAN WARISAN LELUHUR NUSANTARA❤ kita indonesia kita bhineka tunggal ika dan kita bangga,,0
MaasyaaAllah tabarakallah luar bias 🎉🎉,,0
tutor bang cara kloning DNA alffy rev,,0
Keren banget ❤❤❤❤❤,,0
"Beberapa kali putar lagu ""Guardian of Nusantara"" ini bikin hati bergetar dan airmata terus mengalir. Sungguh karya yg luar biasa, sangat membanggakan Indonesia!
Alffy Rev, Terima kasih atas karyamu ini untuk kami Bangsa Garuda, Bangsa Nusantara, Bangsa Indonesia 🇮🇩🇮🇩🇮🇩",,1
"Terima kasih atas dedikasi dan karya nya yang begitu luar biasa,, sehat"" selalu semoga kisah nusantara masih bisa berlanjut",,1
"Terimakasih banyak telah menumpahkan karya yang sangat indah ini. Semua yang terlibat, kalian sangat luar biasa👏",,1
"Kakk terimakasih untukk karya indahnyaa , bolak balik nnton masih nangess kerenn bangettt!!! 🥹😭",,0
Tolong di gali lagi tentang Nusantara biar anak cucuku kita tau bahwa Indonesia kaya akan sejarah 🙏,,0
Hidup dan tumbuh dalam kedamaian,,0
🎉,,0
semoga tahun depan bertema laut ...,,0
Sukses terus maju berkaya jangan sampai padam 💪💪💪💪💪💪💪💪,,0
"Terimakasih, sebuah kado yg sangat indah",,0
❤❤❤❤,,0
"Keren sekali ka. Merinding sekali. Dan garudanya,benar2 se gagah itu.",,0
Kak alffy makasih bgt ya❤ sempet kepikiran apkah thn ini kak alffy absen dri mahakarya terbaik yg ditunggu banyak orang. Tp ternyata aku yg terlewat.. Proud of you kak dan jg team❤❤❤,,0
Beautiful Art,,0
Beautiful Art,,0
"Wisnu pikir sudah mengalahkan 2 ular Naga .... ternyata 'mereka' kembali dgn 9 Naga dan kini bersemayam di IKN (Ibu Kota Naga)

will Wisnu able to fight back the 9 (nine) Dragons snakes in his new great mission?

...stay tuned in Alffy Rev channel",,0
Keren,,0
"Terimakasih yang tak terhingga kepada Mas Alfy rev n Tim.. semoga selalu diberkahi kesehatan , keselamatan n kreativitas yg membawa kebaikan untuk semua terutama bangsa indonesia..  Terimakasih Nusantara",,0
❤❤❤❤,,0
🔥🔥🔥,,0
"mata garudanya kurang menyala bang, selainnya sudah perfect",,0
Terima Kasih,,0
Ini cerita nusantara dengan misteri nya sairnya sepertinya yang pernah ku dengar semoga 🤲,,0
"Knp mix pake bahasa inggris segala, klu mau bawa pesan bangga berbangsa Indonesia maka gunakan sj bahasa Indonesia",,0
❤❤❤❤❤,,0
Saluut dan bangga punya seniman sehebat ini. Terima kasih Alvy Rev & tim. Karya2mu selalu membuat merinding...,,0
"Bang kamu gila, semua karya terasa sampai ke sanubari",,0
Makasih abang selalu menghidupkan suasana kemerdekaan dengan karya yang sangat luar biasa ini❤ di tunggu untuk karya selanjutnya 😊,,1
"Sumpah sy pribadi melihatnya sangat begitu sedih & campur haru serta bangga dgn apa yg anda lakukan dgn karya sehebat ini....
Saluuutttt...
1 kata buat video ini.
"" PERPECT ""
❤🎉❤🎉❤🎉❤🎉❤🎉",,0
Yu kita buat trending topik an mahakarya anak bangsa ini ..,,0
Karyamu keren mas 👍🙏🏻,,0
Karyamu keren mas 👍🙏🏻,,0
Detail Garudanya super. Apa lagi Garuda yang terakhir yang memadukan perak. Kalau yang Garuda 4 awal dominan detailnya dari kayu.,,0
"Bg mungkin permintaan gw egois, tapi please jangan berhenti buat berkarya, jangan berhenti buat kami kagum, kalian yang berkerja dalam project ini adalah aset yang luar biasa yang Indonesia punya. 
Saya hancurkan apresiasi setinggi-tingginya buat tim DEWATLANTIS dan semuanya, kalian luar biasa, karya yang sungguh epic, penuturan kisah yang sungguh menyentuh, alur yang keren dari sebuah lagu yang dipersembahkan sepenuh hati sehingga jadilah MAHAKARYA yang luar biasa. 
Buat lu bg Alfy, karya lu ang gak pernah bikin kecewa, ramuan musik yang lu sajikan selalu bikin kagum penikmatnya. 

Please jangan berhenti, jangan usai, jangan hilang, bila perlu nantinya harus ada Alfy rev lainnya atau bahkan keturunan lu sendiri harus lanjutkan ini, 

Sekali lagi thanks buat persembahan musiknya yang luar biasa.",,1
"terima kasih anak bangsa,,🇮🇩🇮🇩🇮🇩
tunjukan bahwa kita bisa ..",,0
